lId	iReport	iSensitivity	iCalibration	iBifurcation	sName	sUnit	sMinValue	sMaxValue	sDefault0	sSet1	sSet2	sSet3	sSet1Changed	sSet2Changed	sSet3Changed	sDescription	sRemarks	-1		Open water	Sediment	Marsh	Marsh sediment	Total	Depth	NH4	N)3	PO4	Adsorbed P	SiO4	Oxygen	Detritus	Humus	Inorganic matter	Diatoms	Green algae	Blue greens	Vegetation	Phragmites	Zooplankton	Zoobethos	Zoop/benth fish	Predatory fish	Mass balance	Hydrology	Inorganic matter	Dry weight	Nitrogen	Phosphorus	Silica	Oxygen	Main module	Transport processes	Abiotic and microbial module	Algal module	Vegetation module	Food web module	Marsh water module	Marsh vegetation module	_InclTran_	_InclPrim_	_InclPhytS_	_InclBed_	_InclWeb_	_InclMarsh_	iSensitivity	shortName	Duflow	
"=IF(COUNTBLANK(A38)<1,ROW()-2,-1)"	0	0	0	0	_UsePulseLoad_	0	0	0	0	0	0	0	=J37=K37	=J37=L37	=J37=M37	Switch	Forcing	-1	If_TRUE_use_a_pulse-wise_nutrient_loading																																														0		Uselsoad	dummy	
"=IF(COUNTBLANK(A39)<1,ROW()-2,-1)"	0	0	0	0	_mTempEpi_	_oC_	0	0	0	0	0	0	=J38=K38	=J38=L38	=J38=M38	Optional_input_table	Forcing	-1	Measured_time-series_of_water_temperature_Epilimion																																														0		mTempE	XT	
"=IF(COUNTBLANK(A40)<1,ROW()-2,-1)"	0	0	0	0	_mTempHyp_	_oC_	0	0	0	0	0	0	=J39=K39	=J39=L39	=J39=M39	Optional_input_table	Forcing	-1	Measured_time-series_of_water_temperature_Hypolimnion																																														0		mTempH	XT	
"=IF(COUNTBLANK(A41)<1,ROW()-2,-1)"	0	0	0	0	_mStrat_	0	0	0	0	0	0	0	=J40=K40	=J40=L40	=J40=M40	Optional_input_table	Forcing	-1	External_time-series_of_stratification_period_mstrat_equals_1_is_stratification_and_mstrat_equals_0_is_mixing																																														0		mStrat	XT	
"=IF(COUNTBLANK(A42)<1,ROW()-2,-1)"	0	0	0	0	_mLOut_	_J_*_s_^-1*_m_^-2	0	0	0	0	0	0	=J41=K41	=J41=L41	=J41=M41	Optional_input_table	Forcing	-1	Measured_time-series_of_light																																														0		mLOut	XT	
"=IF(COUNTBLANK(A43)<1,ROW()-2,-1)"	0	0	0	0	_mVegShade_	0	0	0	0	0	0	0	=J42=K42	=J42=L42	=J42=M42	Optional_input_table	Forcing	-1	Measured_time-series_of_fraction_shading_on_plants																																														0		mVShade	XT	
"=IF(COUNTBLANK(A44)<1,ROW()-2,-1)"	0	0	0	0	_mVWind_	_m_*_s^-1_	0	0	0	0	0	0	=J43=K43	=J43=L43	=J43=M43	Optional_input_table	Forcing	-1	Measured_time-series_of_wind																																														0		mVWind	XT	
"=IF(COUNTBLANK(A45)<1,ROW()-2,-1)"	0	0	0	0	_mQIn_	_mm_*_d_^-1	0	0	0	0	0	0	=J44=K44	=J44=L44	=J44=M44	Optional_input_table	Forcing	-1	Measured_time-series_of_inflow																																														0		mQIn	dummy	
"=IF(COUNTBLANK(A46)<1,ROW()-2,-1)"	0	0	0	0	_mQOut_	_mm_*_d_^-1	0	0	0	0	0	0	=J45=K45	=J45=L45	=J45=M45	Optional_input_table	Forcing	-1	Measured_time-series_of_outflow																																														0		mQOut	dummy	
"=IF(COUNTBLANK(A47)<1,ROW()-2,-1)"	0	0	0	0	_mQEv_	_mm_*_d_^-1	0	0	0	0	0	0	=J46=K46	=J46=L46	=J46=M46	Optional_input_table	Forcing	-1	Measured_time-series_of_evaporation																																														0		mQEv	dummy	
"=IF(COUNTBLANK(A48)<1,ROW()-2,-1)"	0	1	0	1	_mPLoad_	_gP_*_m_^-2*_d_^-1	0.0001	0.007	0.0001	0.0001	0.0001	0.0001	=J47=K47	=J47=L47	=J47=M47	Optional_input_table	Forcing	-1	Measured_time-series_of_P_loading																																														0		mPLoad	dummy	
"=IF(COUNTBLANK(A49)<1,ROW()-2,-1)"	0	0	0	0	_mPLoadPO4_	_gP_*_m_^-2*_d_^-1	0	0	0	0	0	0	=J48=K48	=J48=L48	=J48=M48	Optional_input_table	Forcing	-1	Measured_time-series_of_PO4_loading																																														0		mPLoaPO4	dummy	
"=IF(COUNTBLANK(A50)<1,ROW()-2,-1)"	0	0	0	0	_mPLoadOrg_	_gP_*_m_^-2*_d_^-1	0	0	0	0	0	0	=J49=K49	=J49=L49	=J49=M49	Optional_input_table	Forcing	-1	Measured_time-series_of_loading_P_bound_to_org_matter																																														0		mPLoaOrg	dummy	
"=IF(COUNTBLANK(A51)<1,ROW()-2,-1)"	0	0	0	0	_mPLoadPhytTot_	_gP_*_m_^-2*_d_^-1	0	0	0	0	0	0	=J50=K50	=J50=L50	=J50=M50	Optional_input_table	Forcing	-1	Measured_time-series_of_P_loading_algal_input																																														0		mPLadTot	dummy	
"=IF(COUNTBLANK(A52)<1,ROW()-2,-1)"	0	0	0	0	_mNLoad_	_gN_*_m_^-2*_d_^-1	0	0	0	0	0	0	=J51=K51	=J51=L51	=J51=M51	Optional_input_table	Forcing	-1	Measured_time-series_of_N_loading																																														0		mNLoad	dummy	
"=IF(COUNTBLANK(A53)<1,ROW()-2,-1)"	0	0	0	0	_mNLoadNH4_	_gN_*_m_^-2*_d_^-1	0	0	0	0	0	0	=J52=K52	=J52=L52	=J52=M52	Optional_input_table	Forcing	-1	Measured_time-series_of_NH4_loading																																														0		mNLoaNH4	dummy	
"=IF(COUNTBLANK(A54)<1,ROW()-2,-1)"	0	0	0	0	_mNLoadNO3_	_gN_*_m_^-2*_d_^-1	0	0	0	0	0	0	=J53=K53	=J53=L53	=J53=M53	Optional_input_table	Forcing	-1	Measured_time-series_of_NO3_loading																																														0		mNLoaNO3	dummy	
"=IF(COUNTBLANK(A55)<1,ROW()-2,-1)"	0	0	0	0	_mNLoadOrg_	_gN_*_m_^-2*_d_^-1	0	0	0	0	0	0	=J54=K54	=J54=L54	=J54=M54	Optional_input_table	Forcing	-1	Measured_time-series_of_loading_N_bound_to_org_matter																																														0		mNLoaOrg	dummy	
"=IF(COUNTBLANK(A56)<1,ROW()-2,-1)"	0	0	0	0	_mDLoadDet_	_gDW_*_m_^-2*_d_^-1	0	0	0	0	0	0	=J55=K55	=J55=L55	=J55=M55	Optional_input_table	Forcing	-1	Measured_time-series_of_Detritus_loading																																														0		mDLoadDe	dummy	
"=IF(COUNTBLANK(A57)<1,ROW()-2,-1)"	0	0	0	0	_mDLoadIM_	_gDW_*_m_^-2*_d_^-1	0	0	0	0	0	0	=J56=K56	=J56=L56	=J56=M56	Optional_input_table	Forcing	-1	Measured_time-series_of_loading_of_DW_of_inorg_matter																																														0		mDLoadIM	dummy	
"=IF(COUNTBLANK(A58)<1,ROW()-2,-1)"	0	0	0	0	_BeginTime_	_d_	0	0	0	0	0	0	=J57=K57	=J57=L57	=J57=M57	Invoer	Runtime	-1	Begintime																																														0		Beginime	PARM	
"=IF(COUNTBLANK(A59)<1,ROW()-2,-1)"	0	0	0	0	_EndTime_	_d_	0	0	365	365	365	365	=J58=K58	=J58=L58	=J58=M58	Invoer	General	-1	(=1_year)																																														0		EndTime	PARM	
"=IF(COUNTBLANK(A60)<1,ROW()-2,-1)"	0	0	0	0	_YearZero_	_y_	0	0	0	0	0	0	=J59=K59	=J59=L59	=J59=M59	Parameter	Runtime	-1	Year_number_of_start_of_calculation_Note_also_Day_no_1_=_1_Jan_of_this_year																																														0		YearZero	PARM	
"=IF(COUNTBLANK(A61)<1,ROW()-2,-1)"	0	1	0	0	_cDepthW0_	_m_	0	0	2	2	2	2	=J60=K60	=J60=L60	=J60=M60	Switch	Dredging	-1	Initial_average_depth_of_lake																																														0		cDepthW0	PARM	
"=IF(COUNTBLANK(A62)<1,ROW()-2,-1)"	0	0	0	0	_cMinDepthHypEpi_	_m_	0	0	0.01	0.01	0.01	0.01	=J61=K61	=J61=L61	=J61=M61	Switch	Dredging	-1	Minimum_hypolimnion_depth																																														0		cMnephHE	PARM	
"=IF(COUNTBLANK(A63)<1,ROW()-2,-1)"	0	0	0	0	_cFetch_	_m_	800	1200	1000	1000	1000	1000	=J62=K62	=J62=L62	=J62=M62	Input_factor	Resuspension	-1	Wind_fetch																																														0		cFetch	PARM	
"=IF(COUNTBLANK(A64)<1,ROW()-2,-1)"	0	0	0	0	_fMarsh_	_m_^2*_m_^-2	0	0	0.1	0.1	0.1	0.1	=J63=K63	=J63=L63	=J63=M63	Input_factor	Marsh	-1	Relative_marsh_area_per_lake_area																																														0		fMarsh	PARM	
"=IF(COUNTBLANK(A65)<1,ROW()-2,-1)"	0	0	0	0	_fLutum_	0	0	0	0.1	0.1	0.1	0.1	=J64=K64	=J64=L64	=J64=M64	Input_factor	Inorg._matter	-1	Lutum_content_of_inorg_matter																																														0		fLutum	PARM	
"=IF(COUNTBLANK(A66)<1,ROW()-2,-1)"	0	0	0	0	_kExchW_	_d_^-1	0	0	1	1	1	1	=J65=K65	=J65=L65	=J65=M65	Input_factor	Inorg._matter	-1	Rate_of_water_exchange_between_epilimnion_and_hypolimnion_in_case_of_water_level_difference_from_mixing_depth																																														0		kExchW	PARM	
"=IF(COUNTBLANK(A67)<1,ROW()-2,-1)"	0	0	0	0	_kExchMaxW_	_m_^2*_d_^-1	0	0	0.0001728	0.0001728	0.0001728	0.0001728	=J66=K66	=J66=L66	=J66=M66	Input_factor	Inorg._matter	-1	Maximum_diffusive_exchange_rate_of_water_between_epilimnion_and_hypolimnion																																														0		kExchMxW	PARM	
"=IF(COUNTBLANK(A68)<1,ROW()-2,-1)"	0	0	0	0	_cDepthMix_	_m_	0	0	5.8	5.8	5.8	5.8	=J67=K67	=J67=L67	=J67=M67	Input_factor	Depth	-1	Mixing_depth_between_epilimnion_and_hypolymnion																																														0		cDeptMix	PARM	
"=IF(COUNTBLANK(A69)<1,ROW()-2,-1)"	0	0	0	0	_cAMix_	_m_^-_cBMix_*_m_	0	0	0.569	0.569	0.569	0.569	=J68=K68	=J68=L68	=J68=M68	Input_factor	Depth	-1	Factor_for_mixing_depth_between_epilimnion_and_hypolymnion																																														0		cAMix	PARM	
"=IF(COUNTBLANK(A70)<1,ROW()-2,-1)"	0	0	0	0	_cBMix_	0	0	0	0.336	0.336	0.336	0.336	=J69=K69	=J69=L69	=J69=M69	Input_factor	Depth	-1	Factor_for_mixing_depth_between_epilimnion_and_hypolymnion																																														0		cBMix	PARM	
"=IF(COUNTBLANK(A71)<1,ROW()-2,-1)"	0	0	0	0	_cfHyp_	_m_^2*_m_^-2	0	0	1	1	1	1	=J70=K70	=J70=L70	=J70=M70	Input_factor	Inorg._matter	-1	Relative_hypolimnion_area_where_exchange_is_50_percent																																														0		cfH	PARM	
