t	tintnext	sstore	sstored	stry	sdid	snext
288.17	0.544336	0.544336	0.605007			
288.714	0.605007	0.525892	0.540722			
289.24	0.540722	0.0896758	0.448379			
289.329	0.448379	0.213354	0.207631			
289.543	0.207631	0.207631	0.433494			
289.75	0.433494	0.433494	0.537142			
290.184	0.537142	0.537142	0.620286			
290.721	0.620286	0.551558	0.562871			
291.273	0.562871	0.495878	0.507407			
291.769	0.507407	0.507407	0.520266			
292.276	0.520266	0.520266	0.520206			
292.796	0.520206	0.520206	0.508093			
293.316	0.508093	0.508093	0.501134			
293.825	0.501134	0.501134	0.512198			
294.326	0.512198	0.512198	0.533266			
294.838	0.533266	0.533266	0.541141			
295.371	0.541141	0.541141	0.525901			
295.912	0.525901	0.525901	0.507828			
296.438	0.507828	0.507828	0.513252			
296.946	0.513252	0.513252	0.543041			
297.459	0.543041	0.543041	0.566464			
298.002	0.566464	0.566464	0.553319			
298.569	0.553319	0.553319	0.519513			
299.122	0.519513	0.519513	0.509987			
299.642	0.509987	0.509987	0.544631			
300.152	0.544631	0.544631	0.592987			
300.696	0.592987	0.592987	0.595142			
301.289	0.595142	0.595142	0.543467			
301.884	0.543467	0.543467	0.504661			
302.428	0.504661	0.504661	0.531965			
302.932	0.531965	0.531965	0.61129			
303.464	0.61129	0.61129	0.654839			
304.076	0.654839	0.221089	0.681288			
304.297	0.681288	0.29741	0.273083			
304.594	0.273083	0.273083	0.808555			
304.867	0.808555	0.808555	0.952547			
305.676	0.952547	0.538894	0.6446			
306.215	0.6446	0.6446	0.692795			
306.859	0.692795	0.599522	0.617286			
307.459	0.617286	0.617286	0.60338			
308.076	0.60338	0.60338	0.577728			
308.68	0.577728	0.577728	0.577672			
309.257	0.577672	0.577672	0.612702			
309.835	0.612702	0.612702	0.64877			
310.448	0.64877	0.64877	0.64216			
311.096	0.64216	0.64216	0.602867			
311.739	0.602867	0.602867	0.585555			
312.341	0.585555	0.585555	0.620756			
312.927	0.620756	0.620756	0.678057			
313.548	0.678057	0.678057	0.689094			
314.226	0.689094	0.689094	0.640335			
314.915	0.640335	0.640335	0.600101			
315.555	0.600101	0.600101	0.626134			
316.155	0.626134	0.626134	0.701493			
316.781	0.701493	0.701493	0.738769			
317.483	0.738769	0.738769	0.690111			
318.222	0.690111	0.690111	0.627158			
318.912	0.627158	0.627158	0.636061			
319.539	0.636061	0.636061	0.720048			
320.175	0.720048	0.720048	0.783665			
320.895	0.783665	0.783665	0.746259			
