Dag	Qev	Qin	Ptotaal	Ntotaal	NP_ratio
169	2.48	17.78462815	0.007869768	0.534037521	127.9707707
170	4.712	17.78462815	0.007869768	0.534037521	127.9707707
171	5.084	17.78462815	0.007869768	0.534037521	127.9707707
172	5.084	46.5829232	0.062458536	0.691960171	11.77566242
173	2.604	78.87105196	0.122525144	0.865729947	7.285541461
174	4.836	83.44477339	0.132332221	0.894101342	6.950653798
175	5.332	73.32100187	0.113142049	0.83858511	7.66213188
176	6.324	87.57171296	0.140155064	0.916732447	6.718035168
177	6.324	81.52363992	0.128690605	0.883566326	7.068872239
178	2.604	42.9773412	0.055623955	0.672188061	12.94478923
179	4.712	54.63671814	0.077724951	0.736125169	9.943833905
180	4.464	81.4281833	0.127182773	0.879204241	7.119862486
181	3.596	93.93222278	0.134393541	0.900064643	6.886656668
182	5.704	82.25972197	0.070026869	1.032869939	15.57163386
183	4.464	85.75794173	0.073360173	1.067287424	15.3206058
184	6.324	77.34627264	0.065345054	0.984528617	15.97005763
185	6.82	86.33948721	0.073914302	1.073009001	15.28118513
186	6.82	85.54077719	0.073153246	1.065150835	15.33548783
187	5.58	86.59894596	0.07416153	1.075561704	15.26379746
188	3.224	100.8785838	0.072236413	1.055684226	15.40250689
189	1.736	89.97852803	0.073951503	1.073393106	15.27856098
190	3.968	86.59406586	0.07415688	1.075513691	15.26412338
191	2.976	65.38437028	0.048515784	0.810760729	18.08961027
192	2.48	36.88462815	0.008591315	0.398527123	81.42065076
193	3.596	25.68462815	0.008591315	0.398527123	81.42065076
194	2.976	54.66523994	0.036491555	0.686606514	20.93637506
195	1.612	91.69406586	0.07415688	1.075513691	15.26412338
196	3.1	87.49406586	0.07415688	1.075513691	15.26412338
197	4.712	86.45172955	0.074021253	1.074113305	15.27364819
198	3.968	81.35956724	0.06783515	1.010239702	15.7509085
199	2.728	115.0005306	0.074067754	1.074593437	15.2703784
200	3.224	88.45634348	0.075264364	1.086948842	15.18769745
201	2.356	90.1275395	0.074474632	1.078794595	15.24195105
202	1.86	88.77471382	0.074519583	1.079258723	15.23883054
203	4.96	85.89133118	0.073487274	1.068599785	15.31150853
204	3.348	88.93763642	0.075246539	1.086764791	15.18890881
205	4.836	86.59406586	0.07415688	1.075513691	15.26412338
206	5.704	87.54487239	0.075062862	1.084868269	15.20142627
207	5.828	71.95375997	0.06020676	0.931473996	16.48331503
208	3.472	48.13717877	0.033701531	0.657798574	21.9230494
209	5.456	17.98462815	0.008591315	0.398527123	81.42065076
210	5.58	17.78462815	0.008591315	0.398527123	81.42065076
211	5.58	46.40154608	0.03585915	0.680076714	21.14501796
212	3.596	77.86519015	0.065839508	0.989634024	15.92514409
213	3.844	79.66432107	0.109075784	1.070738966	10.16082489
214	4.092	80.16382962	0.104184759	1.055581992	10.50454591
215	3.348	80.15472923	0.109691653	1.072647504	10.11979279
216	4.464	82.92887038	0.110281861	1.07447652	10.08091532
217	3.844	89.27598779	0.104046189	1.055152571	10.51477216
218	2.48	86.79685509	0.109127107	1.07089801	10.15738724
219	2.852	106.6494146	0.111103019	1.077021237	10.0275357
220	2.728	99.1640128	0.110968298	1.076603744	10.03623725
221	2.48	85.94408631	0.115511614	1.090683189	9.754357707
222	3.1	106.8578439	0.121370067	1.108838159	9.42301293
223	3.224	89.65809645	0.122316965	1.111772536	9.372530362
224	1.116	96.05809645	0.122316965	1.111772536	9.372530362
225	0.744	86.3710816	0.119182449	1.102058872	9.542808277
226	4.836	44.93426209	0.054289116	0.900958592	17.80815597
227	4.96	17.78462815	0.011460569	0.768235667	98.94942889
228	3.348	22.28462815	0.011460569	0.768235667	98.94942889
229	4.464	17.78462815	0.011460569	0.768235667	98.94942889
230	3.1	19.38462815	0.011460569	0.768235667	98.94942889
231	3.472	19.78462815	0.011460569	0.768235667	98.94942889
232	3.224	18.28462815	0.011460569	0.768235667	98.94942889
233	3.968	61.70554584	0.080745816	0.98294621	12.75738872
234	3.844	98.65809645	0.122316965	1.111772536	9.372530362
235	3.968	88.05809645	0.122316965	1.111772536	9.372530362
236	3.968	50.23974627	0.062658518	0.92689483	15.72024113
237	4.712	17.78462815	0.018135093	0.562852249	38.98288158
238	2.852	31.98462815	0.023474523	0.398551341	20.15137172
239	4.092	18.08462815	0.020560988	0.488204452	28.94891948
240	2.976	17.78462815	0.028094328	0.256394199	10.50895763
241	3.844	17.78462815	0.020695444	0.484067064	28.4765477
242	2.48	17.78462815	0.013965054	0.691169538	67.31029524
243	1.984	18.98462815	0.011460569	0.768235667	98.94942889
244	2.232	18.48462815	0.011934825	0.554972569	67.3659279
245	0.744	32.88462815	0.011934825	0.554972569	67.3659279
246	0.992	35.28462815	0.011934825	0.554972569	67.3659279
247	1.984	48.78462815	0.013666322	0.531565641	53.3182478
248	2.728	18.68462815	0.022950362	0.406061012	21.09000745
249	2.728	17.78462815	0.02078705	0.435305364	25.47074851
