Type Id Name Set0 Set1 Set2 Set3 Rel0-1 Rel0-2 Rel0-3 Dif0-1 Dif0-2 Dif0-3
Parameter 143 _fSedErosIM_ 0.95 0.95 0.95 0.95 0 0 0 0 0 0
Parameter 144 _cVSetIM_ 1 1 1 1 0 0 0 0 0 0
Parameter 145 _cVSetDet_ 0.25 0.25 0.25 0.25 0 0 0 0 0 0
Parameter 146 _cThetaSet_ 1.01 1.01 1.01 1.01 0 0 0 0 0 0
Parameter 147 _cSuspRef_ 0.5 0.5 0.5 0.5 0 0 0 0 0 0
Parameter 148 _cSuspMin_ 6.1 6.1 6.1 6.1 0 0 0 0 0 0
Parameter 149 _cSuspMax_ 25.2 25.2 25.2 25.2 0 0 0 0 0 0
Parameter 150 _cSuspSlope_ 2.1 2.1 2.1 2.1 0 0 0 0 0 0
Parameter 151 _hDepthSusp_ 2 2 2 2 0 0 0 0 0 0
Parameter 152 _cFetchRef_ 1000 1000 1000 1000 0 0 0 0 0 0
Parameter 153 _fLutumRef_ 0.2 0.2 0.2 0.2 0 0 0 0 0 0
Parameter 154 _kVegResus_ 0.01 0.01 0.01 0.01 0 0 0 0 0 0
Parameter 155 _kResusPhytMax_ 0.25 0.25 0.25 0.25 0 0 0 0 0 0
Parameter 156 _cResusPhytExp_ -0.379 -0.379 -0.379 -0.379 0 0 0 0 0 0
Parameter 157 _kPDifPO4_ 7.2e-005 7.2e-005 7.2e-005 7.2e-005 0 0 0 0 0 0
Parameter 158 _kNDifNO3_ 8.6e-005 8.6e-005 8.6e-005 8.6e-005 0 0 0 0 0 0
Parameter 159 _kNDifNH4_ 0.000112 0.000112 0.000112 0.000112 0 0 0 0 0 0
Parameter 160 _kO2Dif_ 2.6e-005 2.6e-005 2.6e-005 2.6e-005 0 0 0 0 0 0
Parameter 161 _cThetaDif_ 1.02 1.02 1.02 1.02 0 0 0 0 0 0
Parameter 162 _fDepthDifS_ 0.5 0.5 0.5 0.5 0 0 0 0 0 0
Parameter 163 _cTurbDifNut_ 5 5 5 5 0 0 0 0 0 0
Parameter 164 _cTurbDifO2_ 5 5 5 5 0 0 0 0 0 0
Parameter 165 _kPSorp_ 0.05 0.05 0.05 0.05 0 0 0 0 0 0
Parameter 166 _cRelPAdsD_ 3e-005 3e-005 3e-005 3e-005 0 0 0 0 0 0
Parameter 167 _cRelPAdsFe_ 0.065 0.065 0.065 0.065 0 0 0 0 0 0
Parameter 168 _cRelPAdsAl_ 0.134 0.134 0.134 0.134 0 0 0 0 0 0
Parameter 169 _cKPAdsOx_ 0.6 0.6 0.6 0.6 0 0 0 0 0 0
Parameter 170 _fRedMax_ 0.9 0.9 0.9 0.9 0 0 0 0 0 0
Parameter 171 _coPO4Max_ 1 1 1 1 0 0 0 0 0 0
Parameter 172 _kPChemPO4_ 0.03 0.03 0.03 0.03 0 0 0 0 0 0
Parameter 173 _cTmRef_ 20 20 20 20 0 0 0 0 0 0
Parameter 174 _fRefrDetS_ 0.15 0.15 0.15 0.15 0 0 0 0 0 0
Parameter 175 _cThetaMinW_ 1.07 1.07 1.07 1.07 0 0 0 0 0 0
Parameter 176 _kDMinDetW_ 0.01 0.01 0.01 0.01 0 0 0 0 0 0
Parameter 177 _hO2BOD_ 1 1 1 1 0 0 0 0 0 0
Parameter 178 _cThetaMinS_ 1.07 1.07 1.07 1.07 0 0 0 0 0 0
Parameter 179 _kDMinDetS_ 0.002 0.002 0.002 0.002 0 0 0 0 0 0
Parameter 180 _kDMinHum_ 1e-005 1e-005 1e-005 1e-005 0 0 0 0 0 0
Parameter 181 _hNO3Denit_ 2 2 2 2 0 0 0 0 0 0
Parameter 182 _NO3PerC_ 0.8 0.8 0.8 0.8 0 0 0 0 0 0
Parameter 183 _kNitrW_ 0.1 0.1 0.1 0.1 0 0 0 0 0 0
Parameter 184 _kNitrS_ 1 1 1 1 0 0 0 0 0 0
Parameter 185 _cThetaNitr_ 1.08 1.08 1.08 1.08 0 0 0 0 0 0
Parameter 186 _O2PerNH4_ 2 2 2 2 0 0 0 0 0 0
Parameter 187 _hO2Nitr_ 2 2 2 2 0 0 0 0 0 0
Parameter 188 _fDissMortVeg_ 0.25 0.25 0.25 0.25 0 0 0 0 0 0
Parameter 189 _cLengAllo_ 15 15 15 15 0 0 0 0 0 0
Parameter 190 _cLengMort_ 15 15 15 15 0 0 0 0 0 0
Parameter 191 _fRootElodSum_ 0.1 0.1 0.1 0.1 0 0 0 0 0 0
Parameter 192 _fRootElodWin_ 0.6 0.6 0.6 0.6 0 0 0 0 0 0
Parameter 193 _fFloatElod_ 0 0 0 0 0 0 0 0 0 0
Parameter 194 _fEmergElod_ 0 0 0 0 0 0 0 0 0 0
Parameter 195 _fDepth1Elod_ 0 0 0 0 0 0 0 0 0 0
Parameter 196 _fDepth2Elod_ 1 1 1 1 0 0 0 0 0 0
Parameter 197 _cDLayerElod_ 0 0 0 0 0 0 0 0 0 0
Parameter 198 _cCovSpElod_ 0.5 0.5 0.5 0.5 0 0 0 0 0 0
Parameter 199 _kMigrElod_ 1e-005 1e-005 1e-005 1e-005 0 0 0 0 0 0
Parameter 200 _cDElodIn_ 0.1 0.1 0.1 0.1 0 0 0 0 0 0
Parameter 201 _cTmInitElod_ 10 10 10 10 0 0 0 0 0 0
Parameter 202 _cDCarrElod_ 500 500 500 500 0 0 0 0 0 0
Parameter 203 _cMuMaxElod_ 0.32 0.32 0.32 0.32 0 0 0 0 0 0
Parameter 204 _cQ10ProdElod_ 1.2 1.2 1.2 1.2 0 0 0 0 0 0
Parameter 205 _hLRefElod_ 32 32 32 32 0 0 0 0 0 0
Parameter 206 _cExtSpElod_ 0.01 0.01 0.01 0.01 0 0 0 0 0 0
Parameter 207 _kDRespElod_ 0.024 0.024 0.024 0.024 0 0 0 0 0 0
Parameter 208 _cQ10RespElod_ 1.5 1.5 1.5 1.5 0 0 0 0 0 0
Parameter 209 _cDayWinElod_ 259 259 259 259 0 0 0 0 0 0
Parameter 210 _kMortElodSum_ 0.005 0.005 0.005 0.005 0 0 0 0 0 0
Parameter 211 _fWinElod_ 0.2 0.2 0.2 0.2 0 0 0 0 0 0
Parameter 212 _fDetWMortElod_ 0.5 0.5 0.5 0.5 0 0 0 0 0 0
Parameter 213 _cPrefElodBird_ 1 1 1 1 0 0 0 0 0 0
Parameter 214 _cVPUptMaxElod_ 0.01 0.01 0.01 0.01 0 0 0 0 0 0
Parameter 215 _cAffPUptElod_ 0.2 0.2 0.2 0.2 0 0 0 0 0 0
Parameter 216 _cPDElodMin_ 0.0008 0.0008 0.0008 0.0008 0 0 0 0 0 0
Parameter 217 _cPDElodMax_ 0.0035 0.0035 0.0035 0.0035 0 0 0 0 0 0
Parameter 218 _cVNUptMaxElod_ 0.1 0.1 0.1 0.1 0 0 0 0 0 0
Parameter 219 _cAffNUptElod_ 0.2 0.2 0.2 0.2 0 0 0 0 0 0
Parameter 220 _cNDElodMin_ 0.01 0.01 0.01 0.01 0 0 0 0 0 0
Parameter 221 _cNDElodMax_ 0.035 0.035 0.035 0.035 0 0 0 0 0 0
Parameter 222 _fRootCharSum_ 0.05 0.05 0.05 0.05 0 0 0 0 0 0
Parameter 223 _fRootCharWin_ 0.1 0.1 0.1 0.1 0 0 0 0 0 0
Parameter 224 _fFloatChar_ 0 0 0 0 0 0 0 0 0 0
Parameter 225 _fEmergChar_ 0 0 0 0 0 0 0 0 0 0
Parameter 226 _fDepth1Char_ 0.5 0.5 0.5 0.5 0 0 0 0 0 0
Parameter 227 _fDepth2Char_ 1 1 1 1 0 0 0 0 0 0
Parameter 228 _cDLayerChar_ 0 0 0 0 0 0 0 0 0 0
Parameter 229 _cCovSpChar_ 0.5 0.5 0.5 0.5 0 0 0 0 0 0
Parameter 230 _kMigrChar_ 1e-005 1e-005 1e-005 1e-005 0 0 0 0 0 0
Parameter 231 _cDCharIn_ 0.1 0.1 0.1 0.1 0 0 0 0 0 0
Parameter 232 _cTmInitChar_ 10 10 10 10 0 0 0 0 0 0
Parameter 233 _cDCarrChar_ 500 500 500 500 0 0 0 0 0 0
Parameter 234 _cMuMaxChar_ 0.22 0.22 0.22 0.22 0 0 0 0 0 0
Parameter 235 _cQ10ProdChar_ 1.2 1.2 1.2 1.2 0 0 0 0 0 0
Parameter 236 _hLRefChar_ 19 19 19 19 0 0 0 0 0 0
Parameter 237 _cExtSpChar_ 0.01 0.01 0.01 0.01 0 0 0 0 0 0
Parameter 238 _kDRespChar_ 0.025 0.025 0.025 0.025 0 0 0 0 0 0
Parameter 239 _cQ10RespChar_ 1.2 1.2 1.2 1.2 0 0 0 0 0 0
Parameter 240 _cDayWinChar_ 259 259 259 259 0 0 0 0 0 0
Parameter 241 _kMortCharSum_ 0.005 0.005 0.005 0.005 0 0 0 0 0 0
Parameter 242 _fWinChar_ 0.9 0.9 0.9 0.9 0 0 0 0 0 0
Parameter 243 _fDetWMortChar_ 0.5 0.5 0.5 0.5 0 0 0 0 0 0
Parameter 244 _cPrefCharBird_ 0.5 0.5 0.5 0.5 0 0 0 0 0 0
Parameter 245 _cVPUptMaxChar_ 0.01 0.01 0.01 0.01 0 0 0 0 0 0
Parameter 246 _cAffPUptChar_ 0.2 0.2 0.2 0.2 0 0 0 0 0 0
Parameter 247 _cPDCharMin_ 0.0012 0.0012 0.0012 0.0012 0 0 0 0 0 0
Parameter 248 _cPDCharMax_ 0.0035 0.0035 0.0035 0.0035 0 0 0 0 0 0
Parameter 249 _cVNUptMaxChar_ 0.1 0.1 0.1 0.1 0 0 0 0 0 0
Parameter 250 _cAffNUptChar_ 0.2 0.2 0.2 0.2 0 0 0 0 0 0
Parameter 251 _cNDCharMin_ 0.01 0.01 0.01 0.01 0 0 0 0 0 0
Parameter 252 _cNDCharMax_ 0.035 0.035 0.035 0.035 0 0 0 0 0 0
Parameter 253 _fRootCeraSum_ 0 0 0 0 0 0 0 0 0 0
Parameter 254 _fRootCeraWin_ 0 0 0 0 0 0 0 0 0 0
Parameter 255 _fFloatCera_ 0 0 0 0 0 0 0 0 0 0
Parameter 256 _fEmergCera_ 0 0 0 0 0 0 0 0 0 0
Parameter 257 _fDepth1Cera_ 0 0 0 0 0 0 0 0 0 0
Parameter 258 _fDepth2Cera_ 0.5 0.5 0.5 0.5 0 0 0 0 0 0
Parameter 259 _cDLayerCera_ 0 0 0 0 0 0 0 0 0 0
Parameter 260 _cCovSpCera_ 0.5 0.5 0.5 0.5 0 0 0 0 0 0
Parameter 261 _kMigrCera_ 1e-005 1e-005 1e-005 1e-005 0 0 0 0 0 0
Parameter 262 _cDCeraIn_ 0.1 0.1 0.1 0.1 0 0 0 0 0 0
Parameter 263 _cTmInitCera_ 10 10 10 10 0 0 0 0 0 0
Parameter 264 _cDCarrCera_ 500 500 500 500 0 0 0 0 0 0
Parameter 265 _cMuMaxCera_ 0.21 0.21 0.21 0.21 0 0 0 0 0 0
Parameter 266 _cQ10ProdCera_ 1.5 1.5 1.5 1.5 0 0 0 0 0 0
Parameter 267 _hLRefCera_ 25 25 25 25 0 0 0 0 0 0
Parameter 268 _cExtSpCera_ 0.01 0.01 0.01 0.01 0 0 0 0 0 0
Parameter 269 _kDRespCera_ 0.024 0.024 0.024 0.024 0 0 0 0 0 0
Parameter 270 _cQ10RespCera_ 2 2 2 2 0 0 0 0 0 0
Parameter 271 _cDayWinCera_ 259 259 259 259 0 0 0 0 0 0
Parameter 272 _kMortCeraSum_ 0.005 0.005 0.005 0.005 0 0 0 0 0 0
Parameter 273 _fWinCera_ 0.1 0.1 0.1 0.1 0 0 0 0 0 0
Parameter 274 _fDetWMortCera_ 0.5 0.5 0.5 0.5 0 0 0 0 0 0
Parameter 275 _cPrefCeraBird_ 0 0 0 0 0 0 0 0 0 0
Parameter 276 _cVPUptMaxCera_ 0.01 0.01 0.01 0.01 0 0 0 0 0 0
Parameter 277 _cAffPUptCera_ 0.2 0.2 0.2 0.2 0 0 0 0 0 0
Parameter 278 _cPDCeraMin_ 0.0012 0.0012 0.0012 0.0012 0 0 0 0 0 0
Parameter 279 _cPDCeraMax_ 0.0035 0.0035 0.0035 0.0035 0 0 0 0 0 0
Parameter 280 _cVNUptMaxCera_ 0.1 0.1 0.1 0.1 0 0 0 0 0 0
Parameter 281 _cAffNUptCera_ 0.2 0.2 0.2 0.2 0 0 0 0 0 0
Parameter 282 _cNDCeraMin_ 0.01 0.01 0.01 0.01 0 0 0 0 0 0
Parameter 283 _cNDCeraMax_ 0.033 0.033 0.033 0.033 0 0 0 0 0 0
Parameter 284 _fObstrLemn_ 1 1 1 1 0 0 0 0 0 0
Parameter 285 _fRootLemnSum_ 0 0 0 0 0 0 0 0 0 0
Parameter 286 _fRootLemnWin_ 0 0 0 0 0 0 0 0 0 0
Parameter 287 _fFloatLemn_ 1 1 1 1 0 0 0 0 0 0
Parameter 288 _fEmergLemn_ 0 0 0 0 0 0 0 0 0 0
Parameter 289 _fDepth1Lemn_ 0 0 0 0 0 0 0 0 0 0
Parameter 290 _fDepth2Lemn_ 0 0 0 0 0 0 0 0 0 0
Parameter 291 _cDLayerLemn_ 100 100 100 100 0 0 0 0 0 0
Parameter 292 _cCovSpLemn_ 1 1 1 1 0 0 0 0 0 0
Parameter 293 _ckMigrLemn_ 1e-005 1e-005 1e-005 1e-005 0 0 0 0 0 0
Parameter 294 _cDLemnIn_ 0.1 0.1 0.1 0.1 0 0 0 0 0 0
Parameter 295 _cTmInitLemn_ 10 10 10 10 0 0 0 0 0 0
Parameter 296 _cDCarrLemn_ 575 575 575 575 0 0 0 0 0 0
Parameter 297 _cMuMaxLemn_ 0.4 0.4 0.4 0.4 0 0 0 0 0 0
Parameter 298 _cQ10ProdLemn_ 2.5 2.5 2.5 2.5 0 0 0 0 0 0
Parameter 299 _hLRefLemn_ 7.5 7.5 7.5 7.5 0 0 0 0 0 0
Parameter 300 _cExtSpLemn_ 0.01 0.01 0.01 0.01 0 0 0 0 0 0
Parameter 301 _kDRespLemn_ 0.03 0.03 0.03 0.03 0 0 0 0 0 0
Parameter 302 _cQ10RespLemn_ 3 3 3 3 0 0 0 0 0 0
Parameter 303 _cDayWinLemn_ 289 289 289 289 0 0 0 0 0 0
Parameter 304 _kMortLemnSum_ 0.02 0.02 0.02 0.02 0 0 0 0 0 0
Parameter 305 _fWinLemn_ 0.2 0.2 0.2 0.2 0 0 0 0 0 0
Parameter 306 _fDetWMortLemn_ 0.8 0.8 0.8 0.8 0 0 0 0 0 0
Parameter 307 _cPrefLemnBird_ 0 0 0 0 0 0 0 0 0 0
Parameter 308 _cVPUptMaxLemn_ 0.005 0.005 0.005 0.005 0 0 0 0 0 0
Parameter 309 _cAffPUptLemn_ 0.02 0.02 0.02 0.02 0 0 0 0 0 0
Parameter 310 _cPDLemnMin_ 0.004 0.004 0.004 0.004 0 0 0 0 0 0
Parameter 311 _cPDLemnMax_ 0.026 0.026 0.026 0.026 0 0 0 0 0 0
Parameter 312 _cVNUptMaxLemn_ 0.05 0.05 0.05 0.05 0 0 0 0 0 0
Parameter 313 _cAffNUptLemn_ 0.02 0.02 0.02 0.02 0 0 0 0 0 0
Parameter 314 _cNDLemnMin_ 0.04 0.04 0.04 0.04 0 0 0 0 0 0
