lId	iReport	iSensitivity	iCalibration	iBifurcation	sName	sUnit	sMinValue	sMaxValue	sDefault0	sSet1	sSet2	sSet3	sSet1Changed	sSet2Changed	sSet3Changed	sDescription	sRemarks	-1		Open water	Sediment	Marsh	Marsh sediment	Total	Depth	NH4	N)3	PO4	Adsorbed P	SiO4	Oxygen	Detritus	Humus	Inorganic matter	Diatoms	Green algae	Blue greens	Vegetation	Phragmites	Zooplankton	Zoobethos	Zoop/benth fish	Predatory fish	Mass balance	Hydrology	Inorganic matter	Dry weight	Nitrogen	Phosphorus	Silica	Oxygen	Main module	Transport processes	Abiotic and microbial module	Algal module	Vegetation module	Food web module	Marsh water module	Marsh vegetation module	_InclTran_	_InclPrim_	_InclPhytS_	_InclBed_	_InclWeb_	_InclMarsh_	iSensitivity	shortName	Duflow
39	0	0	0	0	_cPDDet0_	gP/gDW	0	0	0.0025	0.0025	0.0025	0.0025	TRUE	TRUE	TRUE	initial_P_fraction_in_detritus	-	-1	initial_P_fraction_in_detritus																																																cPDDet0	PARM
40	0	0	0	0	_cNDDet0_	gN/gDW	0	0	0.025	0.025	0.025	0.025	TRUE	TRUE	TRUE	initial_N_fraction_in_detritus	-	-1	initial_N_fraction_in_detritus																																																cNDDet0	PARM
41	0	0	0	0	_cPDHum0_	gP/gDW	0	0	0.005	0.005	0.005	0.005	TRUE	TRUE	TRUE	initial_P_fraction_in_humus	-	-1	initial_P_fraction_in_humus																																																cPDHum0	PARM
42	0	0	0	0	_cNDHum0_	gN/gDW	0	0	0.05	0.05	0.05	0.05	TRUE	TRUE	TRUE	initial_N_fraction_in_humus	-	-1	initial_N_fraction_in_humus																																																cNDHum0	PARM
43	0	0	0	0	_cPDPhyt0_	gP/gDW	0	0	0.01	0.01	0.01	0.01	TRUE	TRUE	TRUE	initial_P_fraction_in_phytoplankton	-	-1	initial_P_fraction_in_phytoplankton																																																cPDPhyt0	PARM
44	0	0	0	0	_cNDPhyt0_	gN/gDW	0	0	0.1	0.1	0.1	0.1	TRUE	TRUE	TRUE	initial_N_fraction_in_phytoplankton	-	-1	initial_N_fraction_in_phytoplankton																																																cNDPhyt0	PARM
45	0	0	0	0	_cPDElod0_	gP/gDW	0	0	0.002	0.002	0.002	0.002	TRUE	TRUE	TRUE	initial_P_fraction_in_Elodeids	-	-1	initial_P_fraction_in_Elodeids																																																cPDElod0	PARM
46	0	0	0	0	_cNDElod0_	gN/gDW	0	0	0.02	0.02	0.02	0.02	TRUE	TRUE	TRUE	initial_N_fraction_in_Elodeids	-	-1	initial_N_fraction_in_Elodeids																																																cNDElod0	PARM
47	0	0	0	0	_cPDChar0_	gP/gDW	0	0	0.002	0.002	0.002	0.002	TRUE	TRUE	TRUE	initial_P_fraction_in_Characeans	-	-1	initial_P_fraction_in_Characeans																																																cPDChar0	PARM
48	0	0	0	0	_cNDChar0_	gN/gDW	0	0	0.02	0.02	0.02	0.02	TRUE	TRUE	TRUE	initial_N_fraction_in_Characeans	-	-1	initial_N_fraction_in_Characeans																																																cNDChar0	PARM
49	0	0	0	0	_cPDCera0_	gP/gDW	0	0	0.002	0.002	0.002	0.002	TRUE	TRUE	TRUE	initial_P_fraction_in_Ceratophyllids	-	-1	initial_P_fraction_in_Ceratophyllids																																																cPDCera0	PARM
50	0	0	0	0	_cNDCera0_	gN/gDW	0	0	0.02	0.02	0.02	0.02	TRUE	TRUE	TRUE	initial_N_fraction_in_Ceraphyllids	-	-1	initial_N_fraction_in_Ceraphyllids																																																cNDCera0	PARM
51	0	0	0	0	_cPDLemn0_	gP/gDW	0	0	0.005	0.005	0.005	0.005	TRUE	TRUE	TRUE	initial_P_fraction_in_Lemnacaea	-	-1	initial_P_fraction_in_Lemnacaea																																																cPDLemn0	PARM
52	0	0	0	0	_cNDLemn0_	gN/gDW	0	0	0.05	0.05	0.05	0.05	TRUE	TRUE	TRUE	initial_N_fraction_in_Lemnacaea	-	-1	initial_N_fraction_in_Lemnacaea																																																cNDLemn0	PARM
53	0	0	0	0	_cPDNymp0_	gP/gDW	0	0	0.002	0.002	0.002	0.002	TRUE	TRUE	TRUE	initial_P_fraction_in_Nymphaeids	-	-1	initial_P_fraction_in_Nymphaeids																																																cPDNymp0	PARM
54	0	0	0	0	_cNDNymp0_	gN/gDW	0	0	0.02	0.02	0.02	0.02	TRUE	TRUE	TRUE	initial_N_fraction_in_Nymphaeids	-	-1	initial_N_fraction_in_Nymphaeids																																																cNDNymp0	PARM
55	0	0	0	0	_cPDHelo0_	gP/gDW	0	0	0.002	0.002	0.002	0.002	TRUE	TRUE	TRUE	initial_P_fraction_in_helophytes	-	-1	initial_P_fraction_in_helophytes																																																cPDHelo0	PARM
56	0	0	0	0	_cNDHelo0_	gN/gDW	0	0	0.02	0.02	0.02	0.02	TRUE	TRUE	TRUE	initial_N_fraction_in_helophytes	-	-1	initial_N_fraction_in_helophytes																																																cNDHelo0	PARM
57	0	1	0	0	_cQInf_	mm/day	0	0	0	0	0	0	TRUE	TRUE	TRUE	infiltration_rate	-	-1	infiltration_rate																																																cQInf	PARM
58	0	0	0	0	_cPBackLoad_	gP/m2/day	0	0	0	0	0	0	TRUE	TRUE	TRUE	Background_PO4_loading	-	-1	Background_PO4_loading																																																cPBaLoad	PARM
59	0	0	0	0	_cNBackLoad_	gP/m2/day	0	0	0	0	0	0	TRUE	TRUE	TRUE	Background_NH4_loading	-	-1	Background_NH4_loading																																																cNBaLoad	PARM
