RunId	Time	_sDDetS_	_sDDetW_	_sDHumS_	_sDIMS_	_sDIMW_	_sNH4S_	_sNH4W_	_sNO3S_	_sNO3W_	_sO2W_	_sPAIMS_	_sPAIMW_	_sPO4S_	_sPO4W_	_sDPhytW_	_sDPhytS_	_sDElod_	_sDChar_	_sDCera_	_sDLemn_	_sDNymp_	_sDHelo_	_oChla_	_aSecchi_	-1
0	22	365.145	1.74378	3272.23	32700.6	0.618304	0.101003	1.6678	0.0845297	2.4461	12.9875	16.6647	6.02108e-006	0.207558	0.580486	0.0806843	0.208387	0.979589	0.817427	0.985738	0.854124	0.8453	0.89157	0.891178	0.5	-1
0	23	365.145	1.74378	3272.23	32700.6	0.618304	0.101003	1.6678	0.0845297	2.4461	12.9875	16.6647	6.02108e-006	0.207558	0.580486	0.0806843	0.208387	0.979589	0.817427	0.985738	0.854124	0.8453	0.89157	0.891178	0.5	-1
0	24	365.239	1.74374	3272.33	32700.3	0.618453	0.103771	1.69761	0.0869586	2.51441	12.9927	16.5936	6.13186e-006	0.207033	0.593803	0.0711059	0.194806	0.98199	0.810487	0.986874	0.851827	0.837478	0.886118	0.783784	0.5	-1
0	25	365.326	1.7437	3272.42	32699.9	0.618567	0.106143	1.7228	0.089023	2.57395	12.9966	16.5275	6.22552e-006	0.20651	0.605203	0.0633725	0.182549	0.984604	0.804283	0.988132	0.849938	0.830239	0.881078	0.696398	0.5	-1
0	26	365.406	1.74365	3272.51	32699.7	0.618648	0.108174	1.74411	0.0907822	2.6258	12.9993	16.4664	6.30473e-006	0.206005	0.614961	0.0570981	0.17159	0.987362	0.798757	0.989474	0.848404	0.823571	0.87644	0.625669	0.5	-1
0	27	365.488	1.74357	3272.6	32699.4	0.618708	0.110084	1.76389	0.092431	2.67536	13.001	16.4044	6.37827e-006	0.205459	0.624132	0.0514957	0.16089	0.990501	0.793363	0.991016	0.847061	0.816837	0.871761	0.56339	0.5	-1
0	28	365.488	1.74357	3272.6	32699.4	0.618708	0.110084	1.76389	0.092431	2.67536	13.001	16.4044	6.37827e-006	0.205459	0.624132	0.0514957	0.16089	0.990501	0.793363	0.991016	0.847061	0.816837	0.871761	0.56339	0.5	-1
0	29	365.577	1.74347	3272.69	32699	0.618745	0.112027	1.78376	0.0941053	2.72672	13.0018	16.336	6.45203e-006	0.204821	0.633456	0.0460947	0.149601	0.994382	0.787658	0.992937	0.845832	0.809436	0.866627	0.50399	0.5	-1
0	30	365.672	1.74333	3272.8	32698.7	0.618752	0.113922	1.80286	0.0957385	2.7779	13.0012	16.2631	6.52287e-006	0.204103	0.642553	0.0411183	0.138178	0.999022	0.781856	0.995249	0.844823	0.801571	0.86118	0.449059	0.5	-1
0	31	365.748	1.74319	3272.88	32698.4	0.618736	0.115311	1.81664	0.0969346	2.81615	12.9996	16.2049	6.57379e-006	0.203544	0.64921	0.0376625	0.12955	1.0031	0.777445	0.997292	0.84425	0.795327	0.856864	0.409494	0.5	-1
0	32	365.825	1.74302	3272.97	32698.1	0.618695	0.116632	1.82958	0.0980739	2.85328	12.9968	16.1451	6.62148e-006	0.202949	0.655547	0.0345234	0.12112	1.00767	0.773108	0.999586	0.843883	0.788928	0.852448	0.374885	0.5	-1
0	33	365.825	1.74302	3272.97	32698.1	0.618695	0.116632	1.82958	0.0980739	2.85328	12.9968	16.1451	6.62148e-006	0.202949	0.655547	0.0345234	0.12112	1.00767	0.773108	0.999586	0.843883	0.788928	0.852448	0.374885	0.5	-1
0	34	365.913	1.7428	3273.07	32697.7	0.618618	0.118017	1.84292	0.0992687	2.89305	12.9923	16.0769	6.67044e-006	0.202249	0.662186	0.0313953	0.112049	1.01335	0.768408	1.00245	0.843751	0.781652	0.847439	0.340806	0.5	-1
0	35	365.99	1.74256	3273.16	32697.5	0.618526	0.119139	1.85354	0.100237	2.92605	12.9869	16.0166	6.70915e-006	0.201633	0.667565	0.0289856	0.104509	1.0188	0.764475	1.00521	0.843901	0.775242	0.843036	0.313729	0.5	-1
0	36	366.07	1.74229	3273.25	32697.1	0.618403	0.120208	1.86345	0.101158	2.95822	12.9801	15.9541	6.74503e-006	0.200988	0.672685	0.0267997	0.0971657	1.0249	0.760624	1.0083	0.844332	0.768625	0.838501	0.289707	0.5	-1
0	37	366.148	1.74198	3273.34	32696.8	0.618255	0.12118	1.87227	0.101995	2.98824	12.972	15.892	6.77666e-006	0.200348	0.677343	0.0249067	0.0903337	1.03142	0.757028	1.01161	0.845051	0.762079	0.834027	0.268804	0.5	-1
0	38	366.222	1.74166	3273.43	32696.5	0.61809	0.122023	1.87973	0.102718	3.01499	12.9631	15.8334	6.80312e-006	0.199746	0.681385	0.023342	0.0842802	1.03803	0.753838	1.01496	0.846012	0.755909	0.829822	0.251434	0.5	-1
0	39	366.222	1.74166	3273.43	32696.5	0.61809	0.122023	1.87973	0.102718	3.01499	12.9631	15.8334	6.80312e-006	0.199746	0.681385	0.023342	0.0842802	1.03803	0.753838	1.01496	0.846012	0.755909	0.829822	0.251434	0.5	-1
0	40	366.292	1.74132	3273.52	32696.3	0.61791	0.122763	1.8861	0.103349	3.03911	12.9534	15.7774	6.82543e-006	0.199173	0.684935	0.0220313	0.0788603	1.04475	0.750987	1.01838	0.847196	0.750039	0.825832	0.236919	0.5	-1
0	41	366.362	1.74095	3273.6	32696	0.617704	0.123456	1.89188	0.103936	3.06235	12.9423	15.7204	6.84537e-006	0.198592	0.688264	0.0208603	0.0736837	1.05203	0.748279	1.02209	0.848685	0.744077	0.821791	0.224062	0.5	-1
0	42	366.437	1.74052	3273.7	32695.7	0.617457	0.124132	1.8973	0.104502	3.08573	12.9291	15.6596	6.8637e-006	0.19798	0.691513	0.0197771	0.0685388	1.06029	0.745615	1.0263	0.850601	0.737747	0.817515	0.212222	0.5	-1
0	43	366.513	1.74004	3273.79	32695.4	0.617177	0.124761	1.90209	0.105021	3.10829	12.9142	15.5973	6.87953e-006	0.19736	0.694545	0.0188249	0.0636451	1.0693	0.743126	1.03089	0.852936	0.731283	0.813164	0.20175	0.5	-1
0	44	366.583	1.73956	3273.89	32695.1	0.616889	0.125297	1.90595	0.105455	3.12829	12.8987	15.5388	6.89181e-006	0.196785	0.697142	0.0180608	0.059379	1.07831	0.741011	1.03548	0.855493	0.725229	0.809104	0.19325	0.5	-1
0	45	366.583	1.73956	3273.89	32695.1	0.616889	0.125297	1.90595	0.105455	3.12829	12.8987	15.5388	6.89181e-006	0.196785	0.697142	0.0180608	0.059379	1.07831	0.741011	1.03548	0.855493	0.725229	0.809104	0.19325	0.5	-1
0	46	366.647	1.73909	3273.97	32694.8	0.616603	0.125745	1.90894	0.105809	3.14562	12.8835	15.4853	6.90097e-006	0.196266	0.699315	0.0174631	0.0557491	1.087	0.739272	1.03992	0.858154	0.719713	0.805419	0.186576	0.5	-1
