t	tintnext	sstore	sstored	stry	sdid	snext
294.621	0.805622	0.805622	0.726467			
295.427	0.726467	0.726467	0.681579			
296.153	0.681579	0.681579	0.734224			
296.835	0.734224	0.734224	0.844493			
297.569	0.844493	0.844493	0.880408			
298.413	0.880408	0.77978	0.796361			
299.193	0.796361	0.796361	0.796955			
299.99	0.796955	0.796955	0.785292			
300.787	0.785292	0.785292	0.782169			
301.572	0.782169	0.782169	0.800828			
302.354	0.800828	0.800828	0.829118			
303.155	0.829118	0.829118	0.839395			
303.984	0.839395	0.414638	0.902324			
304.399	0.902324	0.267711	1.33856			
304.666	1.33856	0.323316	0.294934			
304.99	0.294934	0.294934	1.01737			
305.285	1.01737	1.01737	1.13572			
306.302	1.13572	0.818266	0.897938			
307.12	0.897938	0.897938	0.917533			
308.018	0.917533	0.917533	0.848058			
308.936	0.848058	0.848058	0.783898			
309.784	0.783898	0.783898	0.814454			
310.568	0.814454	0.814454	0.927116			
311.382	0.927116	0.927116	0.996022			
312.309	0.996022	0.996022	0.926222			
313.305	0.926222	0.814499	0.833244			
314.12	0.833244	0.833244	0.950929			
314.953	0.950929	0.950929	1.03589			
315.904	1.03589	1.03589	0.977082			
316.94	0.977082	0.864689	0.882712			
317.804	0.882712	0.882712	0.986521			
318.687	0.986521	0.986521	1.05642			
319.674	1.05642	1.05642	1.0106			
320.73	1.0106	1.0106	0.932034			
321.741	0.932034	0.932034	0.937873			
322.673	0.937873	0.937873	1.03499			
323.611	1.03499	1.03499	1.10576			
324.646	1.10576	1.10576	1.07673			
325.751	1.07673	1.07673	1.02168			
326.828	1.02168	1.02168	1.03471			
327.85	1.03471	1.03471	1.108			
328.884	1.108	1.108	1.15214			
329.992	1.15214	1.15214	1.14054			
331.145	1.14054	1.14054	1.12895			
332.285	1.12895	1.12895	1.15565			
333.414	1.15565	1.15565	1.19557			
334.57	1.19557	1.19557	1.21644			
335.765	1.21644	1.21644	1.22684			
336.982	1.22684	1.22684	1.24524			
338.209	1.24524	1.24524	1.27034			
339.454	1.27034	1.27034	1.23298			
340.724	1.23298	1.02136	1.06525			
341.746	1.06525	1.06525	1.1892			
342.811	1.1892	1.1892	1.25008			
344	1.25008	1.25008	1.15178			
345.25	1.15178	1.01438	1.03632			
346.264	1.03632	1.03632	1.19209			
347.301	1.19209	1.19209	1.31644			
348.493	1.31644	1.31644	1.2224			
349.809	1.2224	1.00901	1.05363			
350.818	1.05363	1.05363	1.23717			
351.872	1.23717	1.23717	1.35742			
353.109	1.35742	1.35742	1.22297			
354.467	1.22297	0.987079	1.03842			
355.454	1.03842	1.03842	1.27102			
356.492	1.27102	1.27102	1.4357			
357.763	1.4357	1.25726	1.28887			
359.02	1.28887	1.28887	1.17469			
360.309	1.17469	1.17469	1.05965			
361.484	1.05965	1.05965	1.08814			
362.544	1.08814	1.08814	1.25647			
363.632	1.25647	0.165508	0.827542			
363.797	0.827542	0.195821	0.979107			
363.993	0.979107	0.0454328	0.0412943			
364.038	0.0412943	0.0412943	0.206471			
364.08	0.206471	0.206471	1.03236			
364.286	1.03236	0.362433	1.62045			
364.649	1.62045	0.293619	1.46809			
364.942	1.46809	0.0559768	0.279884			
364.998	0.279884	0.0506801	0.0460821			
365.049	0.0460821	0.0460821	0.230411			
365.095	0.230411	0.230411	1.15205			
365.325	1.15205	1.15205	2.52281			
