RunId	Time	_sPO4W_	_sO2W_	_sDDiatW_	_sDZoo_	_sDFiAd_	_sDVeg_	_sDBent_	_oPTotW_	_oChla_	_aSecchi_	_aDError_	_aNError_	_aPError_	-1
0	1582	0.163261	10.6378	0.245836	2.19927	2.60509	0.189572	2.22654	0.20284	6.48601	0.785665	2.91038e-011	-3.97904e-013	2.4869e-014	-1
0	1583	0.166983	10.5695	0.237848	2.10901	2.62088	0.197949	2.19681	0.205348	6.38656	0.799813	3.63798e-011	-4.26326e-013	2.4869e-014	-1
0	1584	0.170481	10.508	0.232995	2.01881	2.63606	0.206676	2.16668	0.207988	6.32735	0.813297	2.91038e-011	-4.26326e-013	2.13163e-014	-1
0	1585	0.173686	10.4543	0.231355	1.93028	2.65026	0.215547	2.13694	0.210534	6.3169	0.824713	2.91038e-011	-3.97904e-013	2.13163e-014	-1
0	1586	0.173686	10.4543	0.231355	1.93028	2.65026	0.215547	2.13694	0.210534	6.3169	0.824713	2.91038e-011	-3.97904e-013	2.13163e-014	-1
0	1587	0.176146	10.4151	0.232434	1.85748	2.66136	0.223041	2.1125	0.212635	6.34609	0.832779	2.91038e-011	-4.26326e-013	2.13163e-014	-1
0	1588	0.178656	10.3777	0.236301	1.77768	2.67288	0.23144	2.08584	0.214803	6.41635	0.83964	2.91038e-011	-4.54747e-013	2.13163e-014	-1
0	1589	0.181146	10.3438	0.24392	1.6916	2.68452	0.240696	2.05731	0.217088	6.54101	0.845054	2.91038e-011	-3.97904e-013	2.13163e-014	-1
0	1590	0.183371	10.3177	0.255358	1.60698	2.69515	0.249981	2.02955	0.219304	6.7202	0.848279	2.91038e-011	-3.69482e-013	2.4869e-014	-1
0	1591	0.185227	10.3002	0.269947	1.52894	2.70426	0.258701	2.00423	0.221316	6.94268	0.849256	2.18279e-011	-3.97904e-013	2.13163e-014	-1
0	1592	0.186851	10.29	0.288583	1.453	2.71248	0.267337	1.97981	0.223221	7.21677	0.848259	2.18279e-011	-3.97904e-013	2.4869e-014	-1
0	1593	0.18842	10.2874	0.315114	1.36993	2.72076	0.276971	1.9533	0.225239	7.5897	0.844919	1.45519e-011	-4.26326e-013	2.13163e-014	-1
0	1594	0.189914	10.297	0.354812	1.27646	2.72923	0.288083	1.9236	0.227468	8.12668	0.838149	2.18279e-011	-4.26326e-013	2.13163e-014	-1
0	1595	0.190958	10.3183	0.400259	1.19574	2.73583	0.297967	1.89787	0.229444	8.74345	0.829099	1.45519e-011	-4.26326e-013	1.77636e-014	-1
0	1596	0.191755	10.3557	0.460963	1.11388	2.74189	0.308354	1.87143	0.231408	9.52857	0.816885	1.45519e-011	-4.26326e-013	1.77636e-014	-1
0	1597	0.192246	10.4154	0.543928	1.03089	2.74736	0.31939	1.84391	0.233424	10.5709	0.800565	1.45519e-011	-3.97904e-013	1.77636e-014	-1
0	1598	0.192339	10.5005	0.652594	0.952191	2.75193	0.330531	1.81656	0.235407	11.9111	0.780268	1.45519e-011	-4.26326e-013	1.42109e-014	-1
0	1599	0.19201	10.6088	0.784851	0.883557	2.75539	0.341044	1.79098	0.237236	13.5265	0.757287	1.45519e-011	-4.54747e-013	2.13163e-014	-1
0	1600	0.191282	10.74	0.942433	0.82508	2.75787	0.350899	1.76705	0.2389	15.4298	0.732325	2.18279e-011	-4.54747e-013	1.77636e-014	-1
0	1601	0.190085	10.9056	1.14098	0.77322	2.75961	0.360741	1.74299	0.240494	17.7895	0.70423	2.18279e-011	-4.26326e-013	2.13163e-014	-1
0	1602	0.188233	11.123	1.40457	0.726923	2.76059	0.371044	1.71737	0.242088	20.8888	0.671343	7.27596e-012	-4.54747e-013	1.77636e-014	-1
