lId	iReport	iSensitivity	iCalibration	iBifurcation	sName	sUnit	sMinValue	sMaxValue	sDefault0	sSet1	sSet2	sSet3	sSet1Changed	sSet2Changed	sSet3Changed	sDescription	sRemarks	-1		Open water	Sediment	Marsh	Marsh sediment	Total	Depth	NH4	N)3	PO4	Adsorbed P	SiO4	Oxygen	Detritus	Humus	Inorganic matter	Diatoms	Green algae	Blue greens	Vegetation	Phragmites	Zooplankton	Zoobethos	Zoop/benth fish	Predatory fish	Mass balance	Hydrology	Inorganic matter	Dry weight	Nitrogen	Phosphorus	Silica	Oxygen	Main module	Transport processes	Abiotic and microbial module	Algal module	Vegetation module	Food web module	Marsh water module	Marsh vegetation module	_InclTran_	_InclPrim_	_InclPhytS_	_InclBed_	_InclWeb_	_InclMarsh_	iSensitivity	shortName	Duflow
65	0	0	0	0	_fPAR_	-	0	0	0.48	0.48	0.48	0.48	TRUE	TRUE	TRUE	Parameter	Light	-1	fraction_photosynthetically_active_radiation_(PAR)																																														1		fPAR	PARM
66	0	0	0	0	_cExtSpDet_	m2/gDW	0	0	0.15	0.15	0.15	0.15	TRUE	TRUE	TRUE	Parameter	Light	-1	specific_extinction_detritus																																														1		cExtSpDet	PARM
67	0	0	0	0	_cExtSpIM_	m2/gDW	0	0	0.05	0.05	0.05	0.05	TRUE	TRUE	TRUE	Parameter	Light	-1	specific_extinction_inert_matter																																														1		cExtSpIM	PARM
68	0	0	0	0	_fDTotS0_	g_solid/g_sediment	0	0	0.3	0.3	0.3	0.3	TRUE	TRUE	TRUE	Initial_values	initialisation	-1	initial_dry-weight_fraction_in_sediment																																														1		fDTotS0	PARM
69	0	0	0	0	_fDOrgS0_	g/g	0	0	0.1	0.1	0.1	0.1	TRUE	TRUE	TRUE	Initial_values	initialisation	-1	initial_organic_fraction_of_sediment_DW																																														1		fDOrgS0	PARM
70	0	0	0	0	_fDDetS0_	g/g	0	0	0.05	0.05	0.05	0.05	TRUE	TRUE	TRUE	Initial_values	initialisation	-1	initial_detritus_fraction_of_sediment_organic_matter																																														1		fDDetS0	PARM
71	0	0	0	0	_fSedPhyt0_	g/g	0	0	0.01	0.01	0.01	0.01	TRUE	TRUE	TRUE	Initial_values	initialisation	-1	Fraction_diatoms_DW_on_lake_sediment																																														1		fSedPhyt0	PARM
72	0	0	0	0	_fPInorgS0_	gP/gDW	0	0	0.0005	0.0005	0.0005	0.0005	TRUE	TRUE	TRUE	Initial_values	initialisation	-1	initial_inorg_P_fraction_in_sed																																														1		fPInorgS0	PARM
73	0	0	0	0	_fPAdsS0_	-	0	0	0.99	0.99	0.99	0.99	TRUE	TRUE	TRUE	Initial_values	initialisation	-1	initial_adsorbed_fraction_of_inorg_P_in_sed																																														1		fPAdsS0	PARM
74	0	0	0	0	_cPDDet0_	gP/gDW_Detritus	0	0	0.0025	0.0025	0.0025	0.0025	TRUE	TRUE	TRUE	Initial_values	initialisation	-1	initial_P_fraction_in_detritus																																														1		cPDDet0	PARM
75	0	0	0	0	_cNDDet0_	gN/gDW_Detritus	0	0	0.025	0.025	0.025	0.025	TRUE	TRUE	TRUE	Initial_values	initialisation	-1	initial_N_fraction_in_detritus																																														1		cNDDet0	PARM
76	0	0	0	0	_cSiDDet0_	gSi/gDW_Detritus	0	0	0.01	0.01	0.01	0.01	TRUE	TRUE	TRUE	Initial_values	initialisation	-1	initial_Si_fraction_in_detritus_Tentative																																														1		cSiDDet0	PARM
77	0	0	0	0	_cPDHum0_	gP/gDW_Detritus	0	0	0.005	0.005	0.005	0.005	TRUE	TRUE	TRUE	Initial_values	initialisation	-1	initial_P_fraction_in_humus																																														1		cPDHum0	PARM
78	0	0	0	0	_cNDHum0_	gN/gDW_Detritus	0	0	0.05	0.05	0.05	0.05	TRUE	TRUE	TRUE	Initial_values	initialisation	-1	initial_N_fraction_in_humus																																														1		cNDHum0	PARM
79	0	0	0	0	_cPDPhyt0_	gP/gDW	0	0	0.01	0.01	0.01	0.01	TRUE	TRUE	TRUE	Initial_values	initialisation	-1	initial_P_fraction_in_algae																																														1		cPDPhyt0	PARM
80	0	0	0	0	_cNDPhyt0_	gN/gDW	0	0	0.1	0.1	0.1	0.1	TRUE	TRUE	TRUE	Initial_values	initialisation	-1	initial_N_fraction_in_algae																																														1		cNDPhyt0	PARM
81	0	0	0	0	_cPDDiat0_	gP/gDW	0	0	0.01	0.01	0.01	0.01	TRUE	TRUE	TRUE	Initial_values	initialisation	-1	initial_P_fraction_in_diatoms																																														1		cPDDiat0	PARM
82	0	0	0	0	_cNDDiat0_	gN/gDW	0	0	0.1	0.1	0.1	0.1	TRUE	TRUE	TRUE	Initial_values	initialisation	-1	initial_N_fraction_in_diatoms																																														1		cNDDiat0	PARM
83	0	0	0	0	_cPDGren0_	gP/gDW	0	0	0.01	0.01	0.01	0.01	TRUE	TRUE	TRUE	Initial_values	initialisation	-1	initial_P_fraction_in_green_algae																																														1		cPDGren0	PARM
84	0	0	0	0	_cNDGren0_	gN/gDW	0	0	0.1	0.1	0.1	0.1	TRUE	TRUE	TRUE	Initial_values	initialisation	-1	initial_N_fraction_in_green_algae																																														1		cNDGren0	PARM
85	0	0	0	0	_cPDBlue0_	gP/gDW	0	0	0.01	0.01	0.01	0.01	TRUE	TRUE	TRUE	Initial_values	initialisation	-1	initial_P_fraction_in_blue-green_algae																																														1		cPDBlue0	PARM
86	0	0	0	0	_cNDBlue0_	gN/gDW	0	0	0.1	0.1	0.1	0.1	TRUE	TRUE	TRUE	Initial_values	initialisation	-1	initial_N_fraction_in_blue-green_algae																																														1		cNDBlue0	PARM
87	0	0	0	0	_cPDVeg0_	gP/gDW	0	0	0.002	0.002	0.002	0.002	TRUE	TRUE	TRUE	Initial_values	initialisation	-1	initial_P_fraction_in_veg																																														1		cPDVeg0	PARM
88	0	0	0	0	_cNDVeg0_	gN/gDW	0	0	0.02	0.02	0.02	0.02	TRUE	TRUE	TRUE	Initial_values	initialisation	-1	initial_N_fraction_in_veg																																														1		cNDVeg0	PARM
89	0	0	0	0	_cSiDDiat_	mgSi/mgDW	0	0	0.15	0.15	0.15	0.15	TRUE	TRUE	TRUE	Initial_values	Diatoms	-1	Si/DW_ratio_of_daitoms																																														1		cSiDDiat	PARM
90	0	0	0	0	_cPDZooRef_	mgP/mgDW	0	0	0.01	0.01	0.01	0.01	TRUE	TRUE	TRUE	Initial_values	Zooplankton	-1	reference_P/C-ratio_herb_zooplankton																																														1		cPDZooRef	PARM
91	0	0	0	0	_cNDZooRef_	mgN/mgDW	0	0	0.07	0.07	0.07	0.07	TRUE	TRUE	TRUE	Initial_values	Zooplankton	-1	reference_N/C-ratio_herb_zooplankton																																														1		cNDZooRef	PARM
92	0	0	0	0	_cPDBentRef_	mgP/mgDW	0	0	0.01	0.01	0.01	0.01	TRUE	TRUE	TRUE	Initial_values	Zoobenthos	-1	reference_P/C_ratio_of_zoobenthos																																														1		cPDBentRef	PARM
93	0	0	0	0	_cNDBentRef_	mgN/mgDW	0	0	0.07	0.07	0.07	0.07	TRUE	TRUE	TRUE	Initial_values	Zoobenthos	-1	reference_N/C_ratio_of_zoobenthos																																														1		cNDBentRef	PARM
94	0	0	0	0	_cPDFishRef_	mgP/mgDW	0	0	0.022	0.022	0.022	0.022	TRUE	TRUE	TRUE	Initial_values	Fish	-1	reference_P/C_ratio_of_Fish																																														1		cPDFishRef	PARM
95	0	0	0	0	_cNDFishRef_	mgN/mgDW	0	0	0.1	0.1	0.1	0.1	TRUE	TRUE	TRUE	Initial_values	Fish	-1	reference_N/C_ratio_of_Fish																																														1		cNDFishRef	PARM
96	0	0	0	0	_cPDPisc_	mgP/mgDW	0	0	0.022	0.022	0.022	0.022	TRUE	TRUE	TRUE	Initial_values	Fish	-1	reference_P/C_ratio_of__Pi_sc																																														1		cPDPisc	PARM
97	0	0	0	0	_cNDPisc_	mgN/mgDW	0	0	0.1	0.1	0.1	0.1	TRUE	TRUE	TRUE	Initial_values	Fish	-1	reference_N/C_ratio_of__Pi_sc																																														1		cNDPisc	PARM
98	0	0	0	0	_cQIn_	mm/day	0	0	20	20	20	20	TRUE	TRUE	TRUE	Input_factor	Forcing	-1	standard_water_inflow_if_not_measured																																														0		cQIn	dummy
99	0	0	0	0	_cQInSum_	mm/day	0	0	20	20	20	20	TRUE	TRUE	TRUE	Input_factor	Forcing	-1	summer_water_inflow_if_not_measured																																														0		cQInSum	dummy
100	0	0	0	0	_cQInWin_	mm/day	0	0	20	20	20	20	TRUE	TRUE	TRUE	Input_factor	Forcing	-1	winter_water_inflow_if_not_measured																																														0		cQInWin	dummy
101	0	0	0	0	_cDepthWMax_	m	0	0	5	5	5	5	TRUE	TRUE	TRUE	Input_factor	Forcing	-1	maximum_water_depth																																														0		cDepthWMax	dummy
102	0	0	0	0	_cQInExtraApril1_	mm/day	0	0	0	0	0	0	TRUE	TRUE	TRUE	Input_factor	Forcing	-1	extra_inflow_at_start_of_summer																																														0		cQInEpril1	dummy
103	0	0	0	0	_cQInExtraOct1_	mm/day	0	0	0	0	0	0	TRUE	TRUE	TRUE	Input_factor	Forcing	-1	extra_inflow_at_start_of_winter																																														0		cQInEaOct1	dummy
104	0	0	0	0	_cQOutExtraApril1_	mm/day	0	0	0	0	0	0	TRUE	TRUE	TRUE	Input_factor	Forcing	-1	extra_outflow_at_start_of_summer																																														0		cQOutpril1	dummy
105	0	0	0	0	_cQOutExtraOct1_	mm/day	0	0	0	0	0	0	TRUE	TRUE	TRUE	Input_factor	Forcing	-1	extra_outflow_at_start_of_winter																																														0		cQOutaOct1	dummy
