RunId	Time	_sDepthW_	_sDFiAd_	_sDFiJv_	_sDPisc_	_oO2WHyp_	_aDVeg_	_oO2WEpi_	_oPTotWHyp_	_oChlaHyp_	_aSecchiT_	_oPTotWEpi_	_oChlaEpi_	_aDError_	_aNError_	_aPError_	_aSiError_	_aO2Error_	_aDepthError_	-1
0	56	2	2.42248	0.74521	0.000278575	6.91704	0.0747824	15.2109	0.921244	6.70064	0.569285	0.578394	46.1616	-2.91038e-011	-1.13687e-013	-2.13163e-014	0	0	0	-1
0	57	2	2.42934	0.74285	0.000279156	6.91704	0.0751581	15.3576	0.921244	6.70064	0.54795	0.572843	50.118	-2.91038e-011	-1.13687e-013	-2.13163e-014	0	0	0	-1
0	58	2	2.43598	0.740789	0.000279694	6.91704	0.0754931	15.4915	0.921244	6.70064	0.528904	0.567609	53.9144	-2.91038e-011	-1.13687e-013	-2.13163e-014	7.10543e-015	0	0	-1
0	59	2	2.44253	0.738977	0.000280203	6.91704	0.0757955	15.614	0.921244	6.70064	0.511763	0.562617	57.5598	-2.18279e-011	-1.13687e-013	-1.42109e-014	7.10543e-015	0	0	-1
0	60	2	2.44963	0.737281	0.00028073	6.91704	0.0760915	15.7345	0.921244	6.70064	0.495092	0.557446	61.3252	-2.18279e-011	-1.13687e-013	-2.13163e-014	7.10543e-015	0	0	-1
0	61	2	2.45768	0.735711	0.000281302	6.91704	0.0763954	15.8578	0.921244	6.70064	0.478172	0.551805	65.3769	-2.18279e-011	-1.13687e-013	-2.84217e-014	7.10543e-015	0	0	-1
0	62	2	2.46629	0.734477	0.000281883	6.91704	0.0766907	15.9758	0.921244	6.70064	0.461988	0.545945	69.472	-2.91038e-011	-1.13687e-013	-2.84217e-014	7.10543e-015	0	0	-1
0	63	2	2.47464	0.733749	0.000282419	6.91704	0.0769523	16.0775	0.921244	6.70064	0.447946	0.540398	73.1943	-2.18279e-011	-5.68434e-014	-2.13163e-014	7.10543e-015	0	0	-1
0	64	2	2.48262	0.733506	0.000282908	6.91704	0.0771801	16.1627	0.921244	6.70064	0.436007	0.535255	76.4709	-2.18279e-011	0	-2.13163e-014	7.10543e-015	0	0	-1
0	65	2	2.49108	0.733755	0.000283402	6.91704	0.0773975	16.2399	0.921244	6.70064	0.424931	0.530043	79.584	-2.18279e-011	-5.68434e-014	-2.13163e-014	0	0	0	-1
0	66	2	2.49108	0.733755	0.000283402	6.91704	0.0773975	16.2399	0.921244	6.70064	0.424931	0.530043	79.584	-2.18279e-011	-5.68434e-014	-2.13163e-014	0	0	0	-1
0	67	2	2.50095	0.734721	0.00028395	6.91704	0.0776249	16.3147	0.921244	6.70064	0.413753	0.524233	82.7643	-2.18279e-011	-5.68434e-014	-2.13163e-014	0	0	0	-1
0	68	2	2.51204	0.736684	0.000284532	6.91704	0.0778558	16.3825	0.921244	6.70064	0.402942	0.517915	85.8215	-2.91038e-011	-5.68434e-014	-1.42109e-014	0	0	0	-1
0	69	2	2.52164	0.739126	0.00028501	6.91704	0.0780433	16.4296	0.921244	6.70064	0.394669	0.512445	88.0862	-2.18279e-011	0	-1.42109e-014	0	0	0	-1
0	70	2	2.53185	0.742447	0.000285493	6.91704	0.0782207	16.4658	0.921244	6.70064	0.387351	0.506964	89.9613	-2.18279e-011	-5.68434e-014	-2.13163e-014	0	0	0	-1
0	71	2	2.54379	0.747219	0.000286027	6.91704	0.0784081	16.4932	0.921244	6.70064	0.380281	0.500836	91.5492	-2.18279e-011	5.68434e-014	-1.42109e-014	0	0	0	-1
0	72	2	2.55725	0.75363	0.000286593	6.91704	0.0786013	16.5074	0.921244	6.70064	0.373862	0.49415	92.6211	-2.91038e-011	-5.68434e-014	-2.13163e-014	0	0	0	-1
0	73	2	2.55725	0.75363	0.000286593	6.91704	0.0786013	16.5074	0.921244	6.70064	0.373862	0.49415	92.6211	-2.91038e-011	-5.68434e-014	-2.13163e-014	0	0	0	-1
0	74	2	2.56897	0.759999	0.000287058	6.91704	0.0787614	16.5063	0.921244	6.70064	0.369345	0.488336	92.9576	-2.18279e-011	5.68434e-014	-2.13163e-014	-7.10543e-015	0	0	-1
0	75	2	2.58144	0.767464	0.000287526	6.91704	0.0789159	16.4925	0.921244	6.70064	0.365784	0.482509	92.714	-2.91038e-011	-5.68434e-014	-2.13163e-014	0	0	0	-1
0	76	2	2.59601	0.776932	0.000288041	6.91704	0.0790832	16.46	0.921244	6.70064	0.362976	0.476021	91.7172	-2.91038e-011	0	-2.84217e-014	0	0	0	-1
0	77	2	2.61257	0.788481	0.000288588	6.91704	0.0792627	16.4031	0.921244	6.70064	0.361286	0.468939	89.7405	-2.91038e-011	0	-2.84217e-014	-7.10543e-015	0	0	-1
0	78	2	2.62702	0.799117	0.000289035	6.91704	0.0794178	16.3359	0.921244	6.70064	0.360961	0.462824	87.2942	-3.63798e-011	-5.68434e-014	-3.55271e-014	-7.10543e-015	0	0	-1
0	79	2	2.64244	0.810924	0.000289484	6.91704	0.079574	16.252	0.921244	6.70064	0.361667	0.456764	84.2104	-2.91038e-011	-5.68434e-014	-3.55271e-014	-7.10543e-015	0	0	-1
0	80	2	2.66047	0.825194	0.000289974	6.91704	0.0797511	16.1394	0.921244	6.70064	0.363616	0.450147	80.119	-2.91038e-011	-5.68434e-014	-3.55271e-014	-7.10543e-015	0	0	-1
0	81	2	2.66047	0.825194	0.000289974	6.91704	0.0797511	16.1394	0.921244	6.70064	0.363616	0.450147	80.119	-2.91038e-011	-5.68434e-014	-3.55271e-014	-7.10543e-015	0	0	-1
0	82	2	2.68076	0.841748	0.000290487	6.91704	0.0799508	15.9945	0.921244	6.70064	0.36703	0.443184	75.0387	-2.91038e-011	0	-3.55271e-014	-7.10543e-015	0	0	-1
0	83	2	2.69888	0.856888	0.000290913	6.91704	0.0801533	15.8471	0.921244	6.70064	0.371081	0.437277	70.1414	-3.63798e-011	-5.68434e-014	-3.55271e-014	-1.42109e-014	0	0	-1
0	84	2	2.71813	0.87328	0.000291336	6.91704	0.0804099	15.6824	0.921244	6.70064	0.375998	0.431661	65.0155	-2.91038e-011	0	-2.84217e-014	-7.10543e-015	0	0	-1
0	85	2	2.74042	0.892594	0.000291792	6.91704	0.0807873	15.4825	0.921244	6.70064	0.382292	0.425869	59.2762	-2.18279e-011	-5.68434e-014	-2.13163e-014	-1.42109e-014	0	0	-1
0	86	2	2.74042	0.892594	0.000291792	6.91704	0.0807873	15.4825	0.921244	6.70064	0.382292	0.425869	59.2762	-2.18279e-011	-5.68434e-014	-2.13163e-014	-1.42109e-014	0	0	-1
0	87	2	2.76548	0.914697	0.000292267	6.91704	0.081343	15.2473	0.921244	6.70064	0.389967	0.420128	53.1589	-2.18279e-011	0	-2.84217e-014	-1.42109e-014	0	0	-1
0	88	2	2.78495	0.932116	0.000292609	6.91704	0.0819087	15.0509	0.921244	6.70064	0.396523	0.416021	48.5332	-2.18279e-011	0	-1.42109e-014	-1.42109e-014	0	0	-1
0	89	2	2.80661	0.951739	0.000292967	6.91704	0.0826179	14.8423	0.921244	6.70064	0.403614	0.4122	44.0481	-2.18279e-011	0	-1.42109e-014	-7.10543e-015	0	0	-1
0	90	2	2.83288	0.975866	0.000293371	6.91704	0.0836139	14.5942	0.921244	6.70064	0.412219	0.408249	39.2318	-2.18279e-011	0	-1.42109e-014	-1.42109e-014	0	0	-1
0	91	2	2.85805	0.999294	0.00029373	6.91704	0.0847356	14.3559	0.921244	6.70064	0.4207	0.404946	35.0708	-2.18279e-011	0	-1.42109e-014	-1.42109e-014	0	0	-1
0	92	2	2.8851	1.02483	0.000294087	6.91704	0.0860533	14.1131	0.921244	6.70064	0.429618	0.401992	31.2455	-2.18279e-011	0	-1.42109e-014	-1.42109e-014	0	0	-1
0	93	2	2.8851	1.02483	0.000294087	6.91704	0.0860533	14.1131	0.921244	6.70064	0.429618	0.401992	31.2455	-2.18279e-011	0	-1.42109e-014	-1.42109e-014	0	0	-1
