sName	sUnit	sMinValue	sMaxValue	sDefault0	sSet2	
_cDZooIn_	_gDW_*_m_^-3	0	0	0.1	0.1	
_cDayApril1_	_d_	0	0	91	91	
_cDayOct1_	_d_	0	0	273	273	
_cLengChange_	_d_	0	0	10	10	
_cNLoadS_	_gN_*_m_^-2*_d_^-1	0	0	0	0	
_fNH4LoadS_	0	0	0	0.5	0.5	
_cDErosTot_	_gDW_*_m_^-2*_d_^-1	0	0	0	0	
_fSedErosIM_	0	0	0	0.95	0.95	
_fHypErosIM_	0	0	0	0	0	
_fDOrgSoil_	0	0	0	0.165	0.165	
_cPDSoilOM_	_gP_*_gDW_^-1	0	0	0.001	0.001	
_cNDSoilOM_	_gN_*_gDW_^-1	0	0	0.01	0.01	
_cPO4Ground_	_gP_*_m_^-3	0	0	0.1	0.1	
_cNH4Ground_	_gN_*_m_^-3	0	0	1	1	
_cNO3Ground_	_gN_*_m_^-3	0	0	0.1	0.1	
_cDepthS_	_m_	0	0	0.1	0.1	
_cCPerDW_	_gC_*_gDW_^-1	0	0	0.4	0.4	
_cRhoIM_	_gDW_*_m_^-3	0	0	2500000	2500000	
_cRhoOM_	_gDW_*_m_^-3	0	0	1400000	1400000	
_cTmRef_	_oC_	0	0	20	20	
_cAerRoot_	_m_^(1.5)*_s_^(0.5)*_d_^-1	0	0	0.727	0.727	
_cAerLin_	_s_*_d_^-1	0	0	-0.371	-0.371	
_cAerSquare_	_s_^2*_m_^-1*_d^-1_	0	0	0.0376	0.0376	
_cThetaAer_	1^[_oC_^-1]	0	0	1.024	1.024	
_kFloatAer_	_m_^2*_gDW_^-1	0	0	0.01	0.01	
_kBlueSurfAer_	_m_^2*_gDW_^-1	0	0	0.01	0.01	
_cVSetIM_	_m_*_d_^-1	0	0	1	1	
_cVSetDet_	_m_*_d_^-1	0	0	0.25	0.25	
_cThetaSet_	1^[_oC_^-1]	0	0	1.01	1.01	
_cSuspMin_	0	0	0	6.1	6.1	
_cSuspMax_	0	0	0	25.2	25.2	
_cSuspSlope_	_m_	0	0	2.1	2.1	
_hDepthSusp_	_m_	0	0	2	2	
_cFetchRef_	_m_	0	0	1000	1000	
_fLutumRef_	0	0	0	0.2	0.2	
_cSuspRef_	_gDW_*_m_^-2*_d_^-1	0	0	0.5	0.5	
_kVegResus_	_m_^2*_gDW_^-1	0	0	0.01	0.01	
_kTurbFish_	_gDW_*_gDW_^-1*_d_^-1	0	0	1	1	
_kResusPhytMax_	_d_^-1	0	0	0.25	0.25	
_cResusPhytExp_	_gDW_^-1*_m_^2*_d_^1	0	0	-0.379	-0.379	
_cThetaMinW_	0	0	0	1.07	1.07	
_kDMinDetW_	_d_^-1	0	0	0.01	0.01	
_hO2BOD_	_gO2_*_m_^-3	0	0	1	1	
_O2PerNO3_	0	0	0	1.5	1.5	
_cThetaMinS_	0	0	0	1.07	1.07	
_kDMinDetS_	_d_^-1	0	0	0.002	0.002	
_fRefrDetS_	0	0	0	0.15	0.15	
_hNO3Denit_	_gN_*_m_^-3	0	0	2	2	
_NO3PerC_	0	0	0	0.8	0.8	
_kDMinHum_	_d_^-1	0	0	0.00001	0.00001	
_kNitrW_	_d_^-1	0	0	0.1	0.1	
_kNitrS_	_d_^-1	0	0	1	1	
_cThetaNitr_	_oC_	0	0	1.08	1.08	
_O2PerNH4_	0	0	0	2	2	
_hO2Nitr_	_gO2_*_m_^-3	0	0	2	2	
_kPDifPO4_	_m_^2*_d_^-1	0	0	0.000072	0.000072	
_kNDifNO3_	_m_^2*_d_^-1	0	0	0.000086	0.000086	
_kNDifNH4_	_m_^2*_d_^-1	0	0	0.000112	0.000112	
_kO2Dif_	_m_^2*_d_^-1	0	0	0.000026	0.000026	
_cThetaDif_	_oC_	0	0	1.02	1.02	
_fDepthDifS_	0	0	0	0.5	0.5	
_cTurbDifNut_	0	0	0	5	5	
_cTurbDifO2_	0	0	0	5	5	
_kPSorp_	_d_^-1	0	0	0.05	0.05	
_cRelPAdsD_	_gP_*_gDW_^-1	0	0	0.00003	0.00003	
_cRelPAdsFe_	_gP_*_gFe_^-1	0	0	0.065	0.065	
_cRelPAdsAl_	_gP_*_gAl_^-1	0	0	0.134	0.134	
_cKPAdsOx_	_m_^3*_gP_^-1	0	0	0.6	0.6	
_fRedMax_	0	0	0	0.9	0.9	
_coPO4Max_	_gP_*_m_^-3	0	0	1	1	
_kPChemPO4_	_m_*_d_^-1	0	0	0.03	0.03	
_cDayManVeg1_	_d_	0	0	-9999000	-9999000	
_cDayManVeg2_	_d_	0	0	-9999000	-9999000	
_fManVeg_	0	0	0	0	0	
_cLengMan_	_d_	0	0	10	10	
_cYearStartBirds_	_y_	0	0	0	0	
_cDayStartBirds_	_d_	0	0	46	46	
_cDayEndBirds_	_d_	0	0	288	288	
_cBirdsPerha_	_coot_*_ha_^-1	0	0	0	0	
_cDGrazPerBird_	_gDW_*_coot_^-1*_d_^-1	0	0	45	45	
